Setembro
1965
Mario Lemieux
Theo Bos
Terje Hauge
Richey Reneberg
Wilfred Agbonavbare
Sean M. Carroll
1967
Guy Pearce
Fabián Estay
Josie Bissett
Salvatore Matrecano
1971
Mauricio Pellegrino
Alejandro Julián Sergi Galante
Bertrand Crasson
Valéria Valenssa
Sascha Lewandowski
Nicola Rizzoli
1972
Efe Sodje
Ehren Kruger
Sergen Yalçın
Jeff Strasser
Douglas Emerson
Rich Franklin
Bobo Baldé
Parminder Nagra
Scott Weinger
J. J. Yeley
Ramzan Kadyrov
1977
Fumagalli
Konstantin Zyryanov
James Valentine
Hamad Ndikumana
Gustavo Biscayzacú
Julio César Suazo
1979
Julio César Cáceres
Ximena Herrera
Vince Grella
1980
Borges (futebolista)
James Toseland
1981
Iran Malfitano
Joel Lindpere
Julio Velázquez
1982
Thierno Bah
Andrew Prendeville
Henry Fa'arodo
Florian Kohfeldt
Francisco Bosch
Rustam Khudzhamov
1983
Nicky Hilton
Jádson
Juan Manuel Vargas
Xavier Chen
Florian Mayer
Noah Segan
Shelby Rabara
Glenn McMillan
Kenwyne Jones
Zlatko Dedič
Oleksandr Vorobyov
Átila Iamarino
Nicola Roberts
Rui Costa (ciclista)
Joaquin Wilde
Javier Villa
Kevin Mirallas
Park So-yeon
Liban Abdi
Robbie Kruse
1989
Birgite dos Santos
Kimiya Sato
Travis Kelce
Lais Ribeiro
Federico Delbonis
Ali Mabkhout
Mariana Molina
Mohamed Ali Yacoubi
Blaž Rola
Arthur Pic
Davide Petrucci
Xiao Zhan
1992
Kevin Magnussen
Mercedes Lambre
1993
Chanathip Songkrasin
Jewell Loyd
Dominic Ressel
Ana Caetano
Tsukasa Yoshida
Tornike Tsjakadoea
Leticia Oro Melo
1998
Exequiel Palacios
Polina Gurýeva
Gabriel Brazão
Martinelli (futebolista)
Eden Golan
Jacob Tremblay
578
Justino II
520
989
"Henrique III, Duque da Baviera"
940
1056
Henrique III do Sacro Império Romano-Germânico
1017
1111
Roberto II da Flandres
1065
1112
Sigeberto de Gembloux
1030
1214
Afonso VIII de Castela
1155
1285
Filipe III de França
1245
1398
Branca de Évreux
1333
1399
Raimundo de Cápua
1330
1565
Lodovico Ferrari
1522
1706
Isabel Albertina de Anhalt-Dessau
1665
1740
Jean-Philippe Baratier
1721
1798
Luís António de Sousa Botelho Mourão
1722
1805
Charles Cornwallis
1738
1828
"Carlota, Princesa Real"
1766
Achille Fould
1800
1918
Roland Garros
1888
Faustina Kowalska
Alfred Louis Kroeber
1876
Hal B. Wallis
1899
Fulvio Pennacchi
Bernard Yago
1916
Plinio Barbosa Martins
1926
Johanna Döbereiner
Júlio Pinto
Cătălin Hîldan
Ruth Ellis
Hélio Souto
1929
2004
Maurice Wilkins
Rodney Dangerfield
1921
Ken Ogata
1937
2010
Steve Lee
Steve Jobs
Margarida Marante
Charles Napier
Andrea de Cesaris
Misty Upham
Chantal Akerman
Ruth Escobar
Ivo Barroso
Dia do Professor
Empreendedor
Proclamação da República Portuguesa
Paripueira
Alagoas
Itamaraju
Bahia
Silvânia
Alberto Marvelli
Anna Schäffer
Bartolo Longo
"Benedito, o Mouro"
Fruela de Lugo
Mauro de Glanfeuil
Plácido (mártir)
Plácido de Subiaco
Tráseas de Eumênia
Virgem do Caminho
Calendário romano
Nonas
Calendário litúrgico
Letra dominical
Semana
Epacta
Mês
Dia
20 de dezembro
Janeiro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
5 de janeiro
6 de janeiro
7 de janeiro
8 de janeiro
9 de janeiro
10 de janeiro
11 de janeiro
12 de janeiro
13 de janeiro
14 de janeiro
15 de janeiro
16 de janeiro
17 de janeiro
18 de janeiro
19 de janeiro
20 de janeiro
21 de janeiro
22 de janeiro
23 de janeiro
24 de janeiro
25 de janeiro
26 de janeiro
27 de janeiro
28 de janeiro
29 de janeiro
30 de janeiro
31 de janeiro
Fevereiro
1 de fevereiro
2 de fevereiro
3 de fevereiro
4 de fevereiro
5 de fevereiro
6 de fevereiro
7 de fevereiro
8 de fevereiro
9 de fevereiro
10 de fevereiro
11 de fevereiro
12 de fevereiro
13 de fevereiro
14 de fevereiro
15 de fevereiro
16 de fevereiro
17 de fevereiro
18 de fevereiro
19 de fevereiro
20 de fevereiro
21 de fevereiro
22 de fevereiro
23 de fevereiro
24 de fevereiro
25 de fevereiro
26 de fevereiro
27 de fevereiro
28 de fevereiro
29 de fevereiro
Março
1 de março
2 de março
3 de março
4 de março
5 de março
6 de março
7 de março
8 de março
9 de março
10 de março
11 de março
12 de março
13 de março
14 de março
15 de março
16 de março
17 de março
18 de março
19 de março
20 de março
21 de março
22 de março
23 de março
24 de março
25 de março
26 de março
27 de março
28 de março
29 de março
30 de março
31 de março
Abril
1 de abril
2 de abril
3 de abril
4 de abril
5 de abril
6 de abril
7 de abril
8 de abril
9 de abril
10 de abril
11 de abril
12 de abril
13 de abril
14 de abril
15 de abril
16 de abril
17 de abril
18 de abril
19 de abril
20 de abril
21 de abril
22 de abril
23 de abril
24 de abril
25 de abril
26 de abril
27 de abril
28 de abril
29 de abril
30 de abril
Maio
1 de maio
2 de maio
3 de maio
4 de maio
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
Junho
1 de junho
2 de junho
3 de junho
4 de junho
5 de junho
6 de junho
7 de junho
8 de junho
9 de junho
10 de junho
11 de junho
12 de junho
13 de junho
14 de junho
15 de junho
16 de junho
17 de junho
18 de junho
19 de junho
20 de junho
21 de junho
22 de junho
23 de junho
24 de junho
25 de junho
26 de junho
27 de junho
28 de junho
29 de junho
30 de junho
Julho
1 de julho
2 de julho
3 de julho
4 de julho
5 de julho
6 de julho
7 de julho
8 de julho
9 de julho
10 de julho
11 de julho
12 de julho
13 de julho
14 de julho
15 de julho
16 de julho
17 de julho
18 de julho
19 de julho
20 de julho
21 de julho
22 de julho
23 de julho
24 de julho
25 de julho
26 de julho
27 de julho
28 de julho
29 de julho
30 de julho
31 de julho
Agosto
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
29 de agosto
30 de agosto
31 de agosto
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
7 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
3 de novembro
4 de novembro
5 de novembro
6 de novembro
7 de novembro
8 de novembro
9 de novembro
10 de novembro
11 de novembro
12 de novembro
13 de novembro
14 de novembro
15 de novembro
16 de novembro
17 de novembro
18 de novembro
19 de novembro
20 de novembro
21 de novembro
22 de novembro
23 de novembro
24 de novembro
25 de novembro
26 de novembro
27 de novembro
28 de novembro
29 de novembro
30 de novembro
Dezembro
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
19 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
0 de janeiro
30 de fevereiro
31 de fevereiro
0 de março
